,0x,0y,1x,1y,2x,2y,3x,3y,Unnamed: 8
292,2.0958844591691963,1.7960779674039822,0.9064068316005724,1.7914501022737666,0.9059803659668164,1.2051908911666465,2.094019260160203,1.2098014705942008,
293,2.093082092613147,1.7971488276588876,0.9093986860618459,1.791229179476034,0.9089200491691796,1.2045923406927983,2.091081168097243,1.2104077832442182,
294,2.0901637630502754,1.7978440632754022,0.9123953581911167,1.7910879132392634,0.9114179839606688,1.2029309190793995,2.0885887901253755,1.2120775293462795,
295,2.088725016842726,1.7993463142734663,0.915333455355928,1.790481625312509,0.9142034300589486,1.201816787115233,2.0876223719794758,1.2137295195037576,
296,2.086027226524628,1.8006585365867873,0.9183073604116084,1.790086797856779,0.9171131544283873,1.2010863734694852,2.0850838662006668,1.2153282653906807,
297,2.083152679822252,1.8015170127110078,0.9212970663050225,1.7898384862161227,0.9200752442849045,1.2006109539895335,2.0822791450382168,1.21639294337059,
298,2.082151706316692,1.8033404163284468,0.92422063006217,1.7891656006702137,0.9230604687651646,1.2003135740936834,2.0793595902626127,1.2170830157669719,
299,2.079675727316158,1.8050343844476608,0.9271886115085679,1.788728466670349,0.925630819604842,1.1987665457936936,2.076894242453806,1.2187924192247939,
300,2.0768970059660945,1.8061651840137656,0.9301761313249516,1.788455107297517,0.9284473284529128,1.19773345436079,2.074121419351955,1.2199376056925102,
301,2.0739872958898404,1.8068956545964356,0.9331711023091591,1.7882814731886705,0.931370227555745,1.1970576875114527,2.0712158037246526,1.2206841964950086,
302,2.072967695172024,1.8087087081221627,0.9361020012033774,1.7876412922206075,0.934339666839544,1.1966305688630288,2.068254263206847,1.2211630260694866,
303,2.070479537987565,1.810384737306104,0.9390742682835667,1.7872343175235765,0.9368703457139356,1.1950194622760186,2.065735211469548,1.2227922523720034,
304,2.0676944878993364,1.8114998588268625,0.9420624098650858,1.786967840716338,0.9396715476628791,1.1939455592816868,2.0629395813246445,1.2238805777336978,
305,2.064783017636839,1.8122232818777753,0.9450577235153085,1.7868002216935814,0.942590265364066,1.1932519549414624,2.060023051880887,1.2245833266246207,
306,2.0637635537620307,1.8140364123526398,0.9479889199934194,1.7861614046566214,0.9455573255289568,1.1928086108562213,2.0570562256827847,1.2250282337050942,
307,2.0612751276776544,1.8157120422707893,0.9509604021095218,1.7857487376798917,0.9480829311861902,1.1911895629680629,2.0545330551209995,1.2266510739055267,
308,2.058488672193894,1.8168236473432053,0.9539489321525529,1.785486653376851,0.9508820243645089,1.1901101754662406,2.0517333990177784,1.2277290004817352,
309,2.055574893059573,1.8175377139762272,0.9569442710694431,1.7853194864753332,0.9538017230363568,1.1894207121491531,2.0488149253058965,1.2284236307380978,
310,2.054551350601336,1.8193485451519882,0.9598737196878031,1.784672701509221,0.9567693614112086,1.1889812551249663,2.0458469602055547,1.2288608757073691,
311,2.0520552773353073,1.821012762160259,0.9628452364156032,1.7842602838369466,0.9592873591337152,1.187350400297138,2.043322701513889,1.230482022849843,
312,2.0492658934898076,1.8221169984404382,0.9658328294743804,1.7839877261088486,0.9620810693129155,1.1862571558438555,2.0405212811649154,1.2315553559893468,
313,2.0463499601651525,1.8228222167372559,0.968828423745002,1.783825199293156,0.9649948126222293,1.1855429430412336,2.037601059006481,1.2322425987014851,
314,2.0453236945030975,1.8246315059628384,0.9717573381127513,1.7831759993036367,0.9679601661202668,1.1850883238251009,2.0346325509108176,1.2326761418780925,
315,2.0428255121691343,1.8262925553378644,0.9747277170418951,1.782755465098965,0.9704726991723815,1.1834490625091325,2.0321103268062624,1.2343004526754455,
316,2.0400320978611366,1.8273865555681539,0.9776233712041265,1.7819711265414837,0.9732679662756647,1.1823598050458564,2.0319153751873107,1.2363713806261938,
317,2.0371136872493443,1.8280814508847139,0.9805811398562043,1.7814695245072119,0.9761841610124949,1.1816556685130135,2.0300616370885094,1.2384176700329075,
318,2.0341444407674723,1.8285099078019063,0.9834643710210077,1.7806406831168926,0.9791510821696714,1.1812113951207215,2.0300403170754753,1.2404976445923592,
319,2.03115557113835,1.8287680905668462,0.986416621545607,1.7801075632054255,0.9821384467357451,1.180936344308385,2.0283625404981103,1.2425502097977668,
320,2.030073793909847,1.8305447466221405,0.9890935478049213,1.7787532863496114,0.9851338544045032,1.180770413907477,2.028384732104276,1.244630175240638,
321,2.027542949096044,1.8321555925267652,0.9918699797875379,1.7776168773361378,0.9872137084370395,1.1807394960442776,2.0267468652209435,1.246679321146645,
322,2.0247352568601995,1.8332124105379575,0.994589823015565,1.77635099708313,0.9902136988852271,1.180731925655747,2.0267813302154276,1.2487591194241414,
323,2.0218099050269513,1.833877479445448,0.997397351115589,1.775293743108167,0.992293762584872,1.1807227759922672,2.02515935944604,1.2508045346578962,
324,2.0188374289384123,1.8342829247599655,1.000139225409533,1.7740763173994645,0.9952937168001019,1.180739350265225,2.0251980562978202,1.2528842585012427,
325,2.0158472190528753,1.8345250917280609,1.0029638297166907,1.7730655698998454,0.9973737966302901,1.1807352746099062,2.023579663542516,1.2549260514500742,
326,2.012850171745893,1.8346581610322186,1.0057203907821228,1.771881774692665,1.0003737779825057,1.1807458522447298,2.023616865522956,1.2570058025706592,
327,2.009850934745813,1.8347258176457355,1.008557496281277,1.7709066683463266,1.0024538526819635,1.1807396914332822,2.021989776415888,1.2590441899073148,
328,2.008742704994499,1.8364860947629036,1.011091942117911,1.769301494118659,1.0054538265316495,1.1807522174542415,2.0220256550857862,1.2611239642777619,
329,2.0061978758773336,1.8380747560749606,1.013767393734551,1.7679443063471922,1.007533892459152,1.1807435891191898,2.020396848904228,1.2631588225764114,
330,2.003384119923886,1.8391153219952354,1.0161967123812907,1.766184075989369,1.0096139298918179,1.1807296970484047,2.0204316237291784,1.265238615696525,
331,2.000457189582832,1.8397734092072493,1.0187966961709458,1.7646873848744324,1.0116939484459886,1.1807132190258607,2.0187986444933865,1.2672699749491172,
332,1.9974842674000008,1.8401755704868756,1.0215220220939998,1.7634333519350203,1.0137739618735666,1.1806961061062462,2.01622881031556,1.2688178613462646,
333,1.9954052545270389,1.8402423101675875,1.024205006190376,1.7620911163600956,1.016773960860983,1.180698570959362,2.016791804178758,1.270820306506793,
334,1.9924053680817406,1.8402684121850466,1.0269920548172795,1.7609809992711025,1.018853997776091,1.180684601610424,2.015683950457823,1.2727697863944936,
