,n,time w/o p,time 0,time 1,time 2,time 3,time 4,space w/o p,space 0,space 1,space 2,space 3,space 4
0,4.0,3340.395,3392.714285714286,3370.735849056604,3346.2145454545453,3340.890909090909,3340.1,10.331541587250472,10.39609542811984,10.346099916374914,10.341947220192848,10.284660497948352,10.24912613704074
1,8.0,3366.935,3506.6,3408.8,3381.96992481203,3372.8521739130433,3362.913043478261,8.974974982819639,9.457338405706384,9.150894271484301,8.993418288761115,8.72899732816968,9.209417679513663
2,12.0,3379.7883333333334,3561.3714285714286,3502.1153846153848,3421.7833753148616,3381.2694610778444,3379.2727272727275,8.19097955609392,8.459640121020286,8.514078874785895,8.35171403843315,8.258738470728254,8.120889272987394
3,16.0,3396.534375,3715.027027027027,3609.4166666666665,3462.1857777777777,3384.5235849056603,3373.8636363636365,7.660419972159795,7.5908051273395385,7.91549198565947,8.032218851455836,7.976962568522017,8.151357662541914
4,20.0,3411.6055,3859.184210526316,3699.1946564885498,3507.4430014430013,3390.5806451612902,3375.057142857143,7.316710117974513,7.803957434355574,7.868707875204397,7.73726530819804,7.824135904025666,8.078064249210872
5,24.0,3425.53625,3995.673076923077,3815.0757097791798,3552.133251833741,3405.8145896656533,3376.121212121212,7.099304279726633,7.541319366010038,7.569941722525124,7.61976105141281,7.512277633905465,7.9808141720054495
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
