,n,time w/o p,time 0,time 1,time 2,time 3,time 4,space w/o p,space 0,space 1,space 2,space 3,space 4
0,4.0,3362.0575,4073.2,3772.925925925926,3469.558394160584,3365.3846153846152,3366.9,13.716209977481835,13.842955243860905,13.747771916092107,13.745434727979086,13.737166488003881,13.826876111958104
1,8.0,3471.79,4350.0,3921.977099236641,3599.1854684512427,3482.4615384615386,3476.842105263158,11.921741212620919,12.232557733482981,12.300478093499386,11.889368212036734,11.923206409574146,11.935366767678827
2,12.0,3538.5591666666664,4698.9,4190.103260869565,3738.9461152882204,3556.3081761006288,3534.1724137931033,10.970294068812134,10.891369571037705,11.086802855775197,11.134118703664182,11.095284676642894,11.255550511372405
3,16.0,3605.94125,5218.314285714286,4425.581673306773,3879.4643527204503,3620.1830985915494,3587.6,10.316830016207513,10.12162851191641,10.687280366780374,10.635398461653796,10.615693626554759,10.372730299118217
4,20.0,3806.4055,14469.973684210527,4795.371710526316,4039.977460555973,3667.4290780141846,3630.4,9.905047001324503,9.60629613151975,10.245414382582641,10.304573440803894,10.487787409416882,10.401194450114968
5,24.0,3837.235833333333,7154.311111111111,5186.121293800539,4197.8673341677095,3731.743902439024,3659.310344827586,9.584910322711996,9.633263713734195,10.095363741132243,10.091653067565721,10.228556929323016,10.579045553491166
6,28.0,3806.9010714285714,10973.07142857143,5562.859857482185,4348.057158119658,3787.748051948052,3728.1666666666665,9.309291537586532,9.89033845162339,9.909119599912328,9.991693037395018,10.245467611847413,10.354839109931403
