,n,time w/o p,time 0,time 1,time 2,time 3,time 4,space w/o p,space 0,space 1,space 2,space 3,space 4
0,4.0,3362.055,4128.25,3680.7619047619046,3475.0,3362.4137931034484,3362.3333333333335,13.726379614124907,13.82514599303711,13.775379141389031,13.755369852664284,13.75337666831092,13.703908783290338
1,8.0,3471.7,4255.727272727273,3854.581818181818,3607.5962962962963,3483.890909090909,3456.1111111111113,11.905533422409363,12.550639540736988,12.41872296492865,11.858574366992787,11.816466272009322,12.647333719595947
2,12.0,3539.2966666666666,4560.142857142857,4242.426666666666,3749.102870813397,3556.3037974683543,3525.785714285714,10.948649860173894,10.999899205273294,11.069065483529197,11.134500257358246,10.90289099932759,11.414316127349153
3,16.0,3599.355,5207.3125,4386.478632478633,3877.056466302368,3616.205882352941,3585.5625,10.292180314107068,10.071438255371916,11.019282505511912,10.576206595900937,10.452466286437666,10.356309767723822
4,20.0,3688.394,5617.444444444444,4738.013793103448,4043.8,3662.7291666666665,3620.217391304348,9.890373918356524,9.776608303629837,10.460742994122713,10.20111457995999,10.585687985038236,10.639348570084374
5,24.0,3903.8341666666665,7826.173913043478,5161.932203389831,4213.869182389937,3724.3125,3654.793103448276,9.562505731946198,9.911675192952842,10.191778460987273,9.998252983767506,10.446433114015006,10.717758122470029
6,28.0,3812.937142857143,11908.5,5509.131067961165,4368.639871382637,3775.64,3692.0,9.283058607208194,9.958520471063837,10.075950010674099,9.92069463971581,10.313077887494783,10.127001741601294
